GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjetGLPOO,client.Controller,SimpleClient,81,0,0,0,30,0,4,0,4,0
ProjetGLPOO,client.Controller,AudioUtil,28,0,4,0,5,0,4,0,2,0
ProjetGLPOO,client.Controller,AudioClient,42,0,2,0,15,0,4,0,3,0
ProjetGLPOO,server.View,MainCommand,86,0,16,0,27,0,16,0,2,0
ProjetGLPOO,server.View,MainServer,22,0,0,0,7,0,2,0,2,0
ProjetGLPOO,Model,Album,112,232,5,9,35,51,9,7,4,5
ProjetGLPOO,Model,PlayList,45,161,5,9,18,39,8,6,3,4
ProjetGLPOO,Model,Language,0,49,0,0,0,6,0,3,0,3
ProjetGLPOO,Model,Category,0,49,0,0,0,6,0,3,0,3
ProjetGLPOO,Model,Song,58,60,4,2,17,17,8,4,4,3
ProjetGLPOO,Model,Student,15,0,0,0,6,0,3,0,3,0
ProjetGLPOO,Model,Genre,0,56,0,0,0,6,0,3,0,3
ProjetGLPOO,Model,AudioBook,78,102,6,4,23,27,11,6,5,4
ProjetGLPOO,Model,AudioElement,76,141,2,2,21,30,6,4,4,4
ProjetGLPOO,client.View,MainClient,196,0,7,0,63,0,8,0,3,0
ProjetGLPOO,Model.Exceptions,NoPlayListFoundException,4,0,0,0,2,0,1,0,1,0
ProjetGLPOO,Model.Exceptions,NoAlbumFoundException,0,4,0,0,0,2,0,1,0,1
ProjetGLPOO,Model.Exceptions,NoElementFoundException,4,0,0,0,2,0,1,0,1,0
ProjetGLPOO,server.Controller,XMLHandler,53,68,0,0,13,20,0,4,0,4
ProjetGLPOO,server.Controller,commandController,608,0,20,0,171,0,23,0,13,0
ProjetGLPOO,server.Controller,FirstServer,50,37,3,1,10,9,2,2,0,2
ProjetGLPOO,server.Controller,SortByDate,0,9,0,0,0,2,0,2,0,2
ProjetGLPOO,server.Controller,ClientHandler,39,0,0,0,8,0,2,0,2,0
ProjetGLPOO,server.Controller,AudioServer,81,0,6,0,19,0,5,0,2,0
ProjetGLPOO,server.Controller,AudioUtil,28,0,4,0,5,0,4,0,2,0
ProjetGLPOO,server.Controller,SortByGenre,9,0,0,0,2,0,2,0,2,0
ProjetGLPOO,server.Controller,AbstractServer,0,3,0,0,0,1,0,1,0,1
ProjetGLPOO,server.Controller,ServerThread,217,0,9,0,45,0,9,0,2,0
ProjetGLPOO,server.Controller,MusicHubController,409,531,65,47,74,129,49,29,5,17
ProjetGLPOO,server.Controller,SortByAuthor,9,0,0,0,2,0,2,0,2,0
ProjetGLPOO,server.Controller,Logs,72,58,0,0,23,12,3,3,3,3
